"","Arch.ID","anchoa","brevoortia"
"1","cb1",0.0531636,0.136773
"2","cb2",0.0406909,0.170576
"3","cb3",0.0293636,0.196515
"4","cb4",0.0273455,0.1245
"5","cb5",0.0319636,0.102242
"6","eb1",0.0668636,0.0540882
"7","eb2",0.0517045,0.0445588
"8","eb3",0.0313846,0.0234412
"9","eb4",0.01725,0.0168824
